inputsize,user,system,TT,elapsed,STS,text,rodata,data,bss
495000,0.18,0.00,0.18,0:00.18,0.175,1874,230,16,16
500000,0.20,0.00,0.2,0:00.21,0.17,1874,230,16,16
505000,0.18,0.00,0.18,0:00.18,0.176,1874,230,16,16
510000,0.18,0.00,0.18,0:00.18,0.176,1874,230,16,16
515000,0.18,0.00,0.18,0:00.19,0.168,1874,230,16,16
520000,0.19,0.00,0.19,0:00.19,0.171,1874,230,16,16
525000,0.19,0.00,0.19,0:00.19,0.158,1874,230,16,16
530000,0.18,0.00,0.18,0:00.19,0.164,1874,230,16,16
535000,0.18,0.00,0.18,0:00.19,0.159,1874,230,16,16
540000,0.22,0.00,0.22,0:00.23,0.147,1874,230,16,16
545000,0.22,0.00,0.22,0:00.22,0.17,1874,230,16,16
550000,0.22,0.00,0.22,0:00.23,0.172,1874,230,16,16
555000,0.21,0.00,0.21,0:00.21,0.175,1874,230,16,16
560000,0.23,0.00,0.23,0:00.24,0.169,1874,230,16,16
565000,0.22,0.00,0.22,0:00.22,0.145,1874,230,16,16
570000,0.24,0.00,0.24,0:00.24,0.161,1874,230,16,16
575000,0.20,0.00,0.2,0:00.20,0.141,1874,230,16,16
580000,0.22,0.00,0.22,0:00.22,0.147,1874,230,16,16
585000,0.23,0.00,0.23,0:00.23,0.153,1874,230,16,16
590000,0.22,0.00,0.22,0:00.22,0.173,1874,230,16,16
595000,0.20,0.00,0.2,0:00.21,0.17,1874,230,16,16
600000,0.23,0.00,0.23,0:00.23,0.155,1874,230,16,16
605000,0.21,0.00,0.21,0:00.21,0.17,1874,230,16,16
610000,0.26,0.00,0.26,0:00.26,0.174,1874,230,16,16
615000,0.22,0.00,0.22,0:00.22,0.172,1874,230,16,16
620000,0.24,0.00,0.24,0:00.24,0.141,1874,230,16,16
625000,0.26,0.00,0.26,0:00.27,0.172,1874,230,16,16
630000,0.22,0.00,0.22,0:00.23,0.148,1874,230,16,16
635000,0.24,0.00,0.24,0:00.24,0.158,1874,230,16,16
640000,0.26,0.00,0.26,0:00.26,0.165,1874,230,16,16
645000,0.23,0.00,0.23,0:00.23,0.154,1874,230,16,16
650000,0.23,0.00,0.23,0:00.23,0.15,1874,230,16,16
655000,0.24,0.00,0.24,0:00.24,0.142,1874,230,16,16
660000,0.30,0.00,0.3,0:00.30,0.167,1874,230,16,16
665000,0.26,0.00,0.26,0:00.26,0.147,1874,230,16,16
670000,0.25,0.00,0.25,0:00.25,0.142,1874,230,16,16
675000,0.23,0.00,0.23,0:00.23,0.162,1874,230,16,16
680000,0.26,0.00,0.26,0:00.26,0.145,1874,230,16,16
685000,0.25,0.00,0.25,0:00.26,0.154,1874,230,16,16
690000,0.29,0.00,0.29,0:00.30,0.167,1874,230,16,16
695000,0.24,0.00,0.24,0:00.24,0.164,1874,230,16,16
700000,0.24,0.00,0.24,0:00.25,0.149,1874,230,16,16
705000,0.26,0.00,0.26,0:00.26,0.143,1874,230,16,16
710000,0.25,0.00,0.25,0:00.25,0.175,1874,230,16,16
715000,0.28,0.00,0.28,0:00.28,0.153,1874,230,16,16
720000,0.26,0.00,0.26,0:00.26,0.171,1874,230,16,16
725000,0.28,0.00,0.28,0:00.28,0.177,1874,230,16,16
730000,0.30,0.00,0.3,0:00.30,0.146,1874,230,16,16
735000,0.30,0.00,0.3,0:00.30,0.173,1874,230,16,16
740000,0.26,0.00,0.26,0:00.27,0.167,1874,230,16,16
745000,0.26,0.00,0.26,0:00.27,0.172,1874,230,16,16
750000,0.28,0.00,0.28,0:00.30,0.161,1874,230,16,16
755000,0.27,0.00,0.27,0:00.28,0.159,1874,230,16,16
760000,0.27,0.00,0.27,0:00.27,0.158,1874,230,16,16
765000,0.27,0.00,0.27,0:00.27,0.174,1874,230,16,16
770000,0.32,0.00,0.32,0:00.32,0.169,1874,230,16,16
775000,0.28,0.00,0.28,0:00.29,0.173,1874,230,16,16
780000,0.28,0.00,0.28,0:00.28,0.146,1874,230,16,16
785000,0.29,0.00,0.29,0:00.29,0.14,1874,230,16,16
790000,0.28,0.00,0.28,0:00.28,0.144,1874,230,16,16
795000,0.32,0.00,0.32,0:00.32,0.174,1874,230,16,16
800000,0.30,0.00,0.3,0:00.30,0.178,1874,230,16,16
805000,0.28,0.00,0.28,0:00.29,0.175,1874,230,16,16
810000,0.30,0.00,0.3,0:00.31,0.151,1874,230,16,16
815000,0.29,0.00,0.29,0:00.30,0.171,1874,230,16,16
820000,0.32,0.00,0.32,0:00.32,0.146,1874,230,16,16
825000,0.30,0.00,0.3,0:00.30,0.171,1874,230,16,16
830000,0.33,0.00,0.33,0:00.33,0.149,1874,230,16,16
835000,0.31,0.00,0.31,0:00.31,0.172,1874,230,16,16
840000,0.30,0.00,0.3,0:00.31,0.148,1874,230,16,16
845000,0.30,0.00,0.3,0:00.31,0.169,1874,230,16,16
850000,0.31,0.00,0.31,0:00.31,0.163,1874,230,16,16
855000,0.32,0.00,0.32,0:00.32,0.172,1874,230,16,16
860000,0.34,0.00,0.34,0:00.34,0.143,1874,230,16,16
865000,0.32,0.00,0.32,0:00.32,0.144,1874,230,16,16
870000,0.31,0.00,0.31,0:00.32,0.144,1874,230,16,16
875000,0.33,0.00,0.33,0:00.33,0.148,1874,230,16,16
880000,0.33,0.00,0.33,0:00.33,0.14,1874,230,16,16
885000,0.32,0.00,0.32,0:00.32,0.155,1874,230,16,16
890000,0.37,0.00,0.37,0:00.37,0.159,1874,230,16,16
895000,0.32,0.00,0.32,0:00.32,0.171,1874,230,16,16
900000,0.32,0.00,0.32,0:00.32,0.157,1874,230,16,16
905000,0.34,0.00,0.34,0:00.34,0.141,1874,230,16,16
910000,0.32,0.00,0.32,0:00.32,0.154,1874,230,16,16
915000,0.34,0.00,0.34,0:00.34,0.179,1874,230,16,16
920000,0.33,0.00,0.33,0:00.33,0.143,1874,230,16,16
925000,0.34,0.00,0.34,0:00.34,0.17,1874,230,16,16
930000,0.34,0.00,0.34,0:00.34,0.172,1874,230,16,16
935000,0.37,0.00,0.37,0:00.37,0.175,1874,230,16,16
940000,0.38,0.00,0.38,0:00.38,0.153,1874,230,16,16
945000,0.37,0.00,0.37,0:00.37,0.15,1874,230,16,16
950000,0.37,0.00,0.37,0:00.37,0.153,1874,230,16,16
955000,0.34,0.00,0.34,0:00.34,0.157,1874,230,16,16
