inst#,actual,predicted,error
1242,?,145.073,?
1243,?,145.075,?
1244,?,145.076,?
1245,?,145.075,?
1246,?,145.071,?
1247,?,145.073,?
1248,?,145.072,?
1249,?,145.073,?
1250,?,145.072,?
1251,?,145.072,?
1252,?,145.078,?
1253,?,145.076,?
1254,?,145.074,?
1255,?,157.854,?
1256,?,157.856,?
1257,?,157.856,?
1258,?,157.855,?
1259,?,157.857,?
1260,?,157.852,?
1261,?,157.852,?
1262,?,157.855,?
1263,?,157.857,?
1264,?,157.86,?
1265,?,157.853,?
1266,?,157.855,?
1267,?,157.855,?
1268,?,157.859,?
1269,?,157.855,?
1270,?,157.852,?
1271,?,157.858,?
1272,?,157.86,?
1273,?,157.855,?
1274,?,157.857,?
1275,?,157.854,?
1276,?,157.859,?
1277,?,157.852,?
1278,?,157.856,?
1279,?,157.86,?
1280,?,157.86,?
1281,?,157.86,?
1282,?,157.855,?
1283,?,157.855,?
1284,?,157.857,?
1285,?,157.86,?
1286,?,157.853,?
1287,?,157.86,?
1288,?,164.642,?
1289,?,164.635,?
1290,?,164.642,?
1291,?,164.638,?
1292,?,164.64,?
1293,?,164.636,?
1294,?,164.636,?
1295,?,164.637,?
1296,?,164.641,?
1297,?,164.637,?
1298,?,164.635,?
1299,?,164.638,?
1300,?,164.641,?
1301,?,164.64,?
1302,?,164.635,?
1303,?,164.642,?
1304,?,164.634,?
1305,?,164.64,?
1306,?,164.638,?
1307,?,164.635,?
1308,?,164.634,?
1309,?,164.635,?
1310,?,164.639,?
1311,?,164.639,?
1312,?,164.641,?
1313,?,164.639,?
1314,?,164.635,?
1315,?,164.637,?
1316,?,164.634,?
1317,?,164.642,?
1318,?,164.638,?
1319,?,164.64,?
1320,?,164.642,?
1321,?,174.566,?
1322,?,174.565,?
1323,?,174.561,?
1324,?,174.566,?
1325,?,174.565,?
1326,?,174.566,?
1327,?,174.562,?
1328,?,174.568,?
1329,?,174.566,?
1330,?,174.562,?
1331,?,174.563,?
1332,?,174.564,?
1333,?,174.56,?
1334,?,174.566,?
1335,?,174.564,?
1336,?,174.562,?
1337,?,174.564,?
1338,?,174.567,?
1339,?,174.563,?
1340,?,174.562,?
1341,?,174.565,?
1342,?,174.568,?
1343,?,174.566,?
1344,?,174.568,?
1345,?,174.564,?
1346,?,174.568,?
1347,?,174.564,?
1348,?,174.566,?
1349,?,174.562,?
1350,?,174.565,?
1351,?,174.562,?
1352,?,174.562,?
1353,?,174.568,?
1354,?,183.41,?
1355,?,183.411,?
1356,?,183.415,?
1357,?,183.408,?
1358,?,183.41,?
